short_name,name,duns_number
XWESTR,EVERGY KANSAS CENTRAL INC (CRRAH),0069437815000
XFYEC,FAYETTE ELECTRIC COOPERATIVE INC (CRRAH),0593309775000
XFORMO,FORMOSA UTILITY VENTURE LTD (CRRAH),9277887865000
XFPSOU,FP SOUTH CAPITAL PARTNERS LLC (CRRAH),1174094445000
XFPLK,FPL ENERGY TEXAS KEIR LLC (CRRAH),6117140365000
XFREEP,FREEPOINT COMMODITIES LLC (CRRAH),9679639065000
XFREE2,FREEPOINT COMMODITIES LLC 2 (CRRAH),9679639065100
XFRESL,FREEPOINT ENERGY SOLUTIONS LLC (CRRAH),0801083755000
XHECAT,FRYE SOLAR LLC (CRRAH),1189375485000
XGARIT,GARITA ENERGY PARTNERS LP (CRRAH),1193406425000
XGBPPO,GBP POWER LP (CRRAH),1179909185000
XGBPP1,GBP POWER LP 1 (CRRAH),1179909185100
XGBPP2,GBP POWER LP 2 (CRRAH),1179909185200
XGENIT,GEN I TRADING NORTH AMERICA LLC (CRRAH),1195779125000
XGEO1,GEODESIC 1 LLC (CRRAH),0810285855000
XGEO11,GEODESIC 1 LLC 1 (CRRAH),0810285855100
XGEO12,GEODESIC 1 LLC 2 (CRRAH),0810285855200
XNGREM,GERONIMO POWER MARKETING LLC (CRRAH),1180341905000
XGEUS,GEUS (CRRAH),1312180135000
XGEXA,GEXA ENERGY LP (CRRAH),1081145425000
XGINKG,GINKGO POWER TRADING LLC (CRRAH),0814702095000
XGOLD,GOLDEN SPREAD ELECTRIC COOPERATIVE INC (CRRAH),1864707795000
XGOLDT,GOLDTHWAITE WIND ENERGY LLC (CRRAH),0787479235000
XGRENP,GRENADIER POWER FUND LP (CRRAH),1192863895000
XGRGE,GRG ENERGY LLC (CRRAH),0783660635000
XGRIEQ,GRIDMATIC EQUISETUM LLC (CRRAH),1180455685000
XGRIE1,GRIDMATIC EQUISETUM LLC 1 (CRRAH),1180455685100
XGRIE2,GRIDMATIC EQUISETUM LLC 2 (CRRAH),1180455685200
XGRIDM,GRIDMATIC INC (CRRAH),0801996435000
XGVEC,GUADALUPE VALLEY ELECTRIC CO OP INC (CRRAH),0079305895000
XGUNSI,GUNSIGHT MOUNTAIN WIND ENERGY LLC (CRRAH),0796659845000
XGUNVO,GUNVOR USA LLC (CRRAH),0498668985000
XHANWH,HANWHA ENERGY USA HOLDINGS CORP DBA 174 POWER GLOBAL (CRRAH),0806881855000
XHANW2,HANWHA ENERGY USA HOLDINGS CORP DBA 174 POWER GLOBAL 2 (CRRAH),0806881855100
XHARTR,HARTREE PARTNERS LP (CRRAH),0159561625000
XHART1,HARTREE PARTNERS LP 1 (CRRAH),0159561625100
XHART2,HARTREE PARTNERS LP 2 (CRRAH),0159561625200
XHTEC,HEART OF TEXAS ELECTRIC COOPERATIVE INC (CRRAH),0075096985000
XHEBER,HEBER ENERGY LLC (CRRAH),0810771185000
XHERMI,HERMIT ENERGY TRADING LLC (CRRAH),1171120155000
XHERM1,HERMIT ENERGY TRADING LLC 1 (CRRAH),1171120155100
XHERM2,HERMIT ENERGY TRADING LLC 2 (CRRAH),1171120155200
XHQENE,HQ ENERGY SERVICES (US) INC (CRRAH),0249887225000
XHYDRA,HYDRASAUR LLC (CRRAH),1077090335000
XINCOM,IN COMMODITIES US LLC (CRRAH),1172090335000
XINER3,INERTIA POWER III LP (CRRAH),0791257655000
XINERA,INERTIA POWER III LP A (CRRAH),0791257655100
XINERB,INERTIA POWER III LP B (CRRAH),0791257655200
XINTER,INTERGRID POWER LLC (CRRAH),0808329325000
XIPENE,IP ENERGY MARKETING LLC (CRRAH),1191273005000
XIPLU2,IP LUMINA II LLC (CRRAH),1180275585000
XIPLUM,IP LUMINA LLC (CRRAH),1180147625000
XIPQU2,IP QUANTUM II LLC (CRRAH),1195125965000
XIPQUA,IP QUANTUM LLC (CRRAH),1123677215000
XIPRAD,IP RADIAN LLC (CRRAH),1180147355000
XJARON,J ARON AND COMPANY LLC (CRRAH),0069803125000
XJACIN,JACINTO ENERGY LLC (CRRAH),0801903355000
XJUSTL,JUST ENERGY LIMITED (CRRAH),1186924855000
XJUST,JUST ENERGY TEXAS LP (CRRAH),1105699985000
XK2SO,K2SO LLC (CRRAH),1028138605000
XK2SO1,K2SO LLC 1 (CRRAH),1028138605100
XK2SO2,K2SO LLC 2 (CRRAH),1028138605200
XKANAP,KANAPAHA ENERGY LLC (CRRAH),1177184535000
XKPUB,KERRVILLE PUBLIC UTILITY BOARD (CRRAH),1248248065000
XKNOA,KONA POWER LLC (CRRAH),1195062895000
XKNOA1,KONA POWER LLC 1 (CRRAH),1195062895100
XKNOA2,KONA POWER LLC 2 (CRRAH),1195062895200
XKWANX,KWANTIX POWER FUND II LP (CRRAH),1183939775000
XKWAN1,KWANTIX POWER FUND II LP 1 (CRRAH),1183939775100
XKWAN2,KWANTIX POWER FUND II LP 2 (CRRAH),1183939775200
XKWANT,KWANTIX TRADING FUND I LP (CRRAH),0796291325000
XLAFAY,LAFAYETTE POWER LLC (CRRAH),0805739025000
XLAFA1,LAFAYETTE POWER LLC 1 (CRRAH),0805739025100
XLANPR,LANEY POWER LLLP (CRRAH),1176765045000
XLANP1,LANEY POWER LLLP 1 (CRRAH),1176765045100
XLANP2,LANEY POWER LLLP 2 (CRRAH),1176765045200
XLCPE,LCP ENERGY LP (CRRAH),1178212345000
XLCPE1,LCP ENERGY LP 1 (CRRAH),1178212345100
XLCPE2,LCP ENERGY LP 2 (CRRAH),1178212345200
XLELAN,LELAND POWER LLC (CRRAH),0801903005000
XLINEB,LINEBACKER POWER FUNDING LLC (CRRAH),1189940585000
XLCRA,LOWER COLORADO RIVER AUTHORITY (CRRAH),0432268855000
XLCRA1,LOWER COLORADO RIVER AUTHORITY LCRA WSC ENERGY (CRRAH),0432268855100
XLQA,LQA LLC (CRRAH),8097849735000
XLQA2,LQA LLC 2 (CRRAH),8097849735100
XLQA3,LQA LLC 3 (CRRAH),8097849735200
XLREEN,LRE ENERGY SERVICES LLC (CRRAH),1189656795000
XLUMN,LUMINANT ENERGY COMPANY LLC (CRRAH),6062523935000
XLUREP,LUMINANT ENERGY COMPANY LLC REPS (CRRAH),6062523935200
XLUTRD,LUMINANT ENERGY COMPANY LLC TRADING (CRRAH),6062523935300
XMACQ,MACQUARIE ENERGY LLC (CRRAH),7988460365000
XMACQ1,MACQUARIE ENERGY LLC 1 (CRRAH),7988460365100
XMACQ2,MACQUARIE ENERGY LLC 2 (CRRAH),7988460365200
XMAGE,MAG ENERGY SOLUTIONS INC (CRRAH),2055562075000
XMAGE1,MAG ENERGY SOLUTIONS INC 1 (CRRAH),2055562075100
XMAGE2,MAG ENERGY SOLUTIONS INC 2 (CRRAH),2055562075200
XMAIA,MAIA POWER LLC (CRRAH),1052412355000
XMAIA1,MAIA POWER LLC 1 (CRRAH),1052412355100
XMAIA2,MAIA POWER LLC 2 (CRRAH),1052412355200
XMARKE,MARKET PLACE ENERGY LLC (CRRAH),1184493565000
XMARK1,MARKET PLACE ENERGY LLC 1 (CRRAH),1184493565100
XMARK2,MARKET PLACE ENERGY LLC 2 (CRRAH),1184493565200
XMAVER,MAVERICK CREEK WIND LLC (CRRAH),1172245045000
XMEND,MENDOCINO POWER LP (CRRAH),1322806645000
XMEND1,MENDOCINO POWER LP 1 (CRRAH),1322806645100
XMEND2,MENDOCINO POWER LP 2 (CRRAH),1322806645200
XMEA,MERCURIA ENERGY AMERICA LLC (CRRAH),8317491275000
XMEA1,MERCURIA ENERGY AMERICA LLC 1 (CRRAH),8317491275100
XMEA2,MERCURIA ENERGY AMERICA LLC 2 (CRRAH),8317491275200
XMEREL,MERELEC USA LLC (CRRAH),0657483385000
XMERRL,MERRILL LYNCH COMMODITIES INC (CRRAH),1603528655000
XMERR2,MERRILL LYNCH COMMODITIES INC 2 (CRRAH),1603528655200
XMERR3,MERRILL LYNCH COMMODITIES INC 3 (CRRAH),1603528655300
XMETTT,MET TEXAS TRADING LP (CRRAH),9658406015000
XMETT2,MET TEXAS TRADING LP 2 (CRRAH),9658406015100
XMETT3,MET TEXAS TRADING LP 3 (CRRAH),9658406015200
XMFTE,MFT ENERGY LLC (CRRAH),1338250575000
XMFTE1,MFT ENERGY LLC 1 (CRRAH),1338250575100
XMFTE2,MFT ENERGY LLC 2 (CRRAH),1338250575200
XMFTPO,MFT ENERGY US POWER LLC (CRRAH),1188317325000
XMIAMI,MIAMI WIND I LLC (CRRAH),0790948675000
